year,environment_authority,region,department,municipality,category,sector,result
2016,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guaviare,San José del Guaviare,Industrial eco-products,Waste recovery and valorization,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Vaupés,Mitú,Industrial eco-products,Other sustainable green goods and services,Basic
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guainía,Inírida,Industrial eco-products,Waste recovery and valorization,Satisfactory
